label,rep,idx,t_ms,ax,ay,az,gx,gy,gz
2,9,76,1521,0.926760,-0.763032,-0.718063,-5.361524,-0.418906,-1.600547
2,9,77,1541,0.949221,-0.735200,-0.701950,-2.674023,-2.856406,-2.725547
2,9,78,1561,0.953127,-0.716157,-0.716599,0.013477,-4.606406,-1.663047
2,9,79,1581,0.959963,-0.707856,-0.710739,-2.986523,-3.418906,-0.725547
2,9,80,1601,0.982913,-0.678071,-0.684860,-3.611523,-2.731406,-0.100547
2,9,81,1621,0.995120,-0.680512,-0.676559,-2.236523,-4.856406,3.149453
2,9,82,1641,0.993167,-0.706879,-0.682419,0.700977,-7.918906,4.086953
2,9,83,1661,0.995120,-0.706879,-0.708786,-0.236523,-10.356406,5.774453
2,9,84,1681,0.974612,-0.728364,-0.753708,-2.736523,-11.356406,7.774453
2,9,85,1701,0.954104,-0.745942,-0.790329,-2.486523,-9.606406,7.774453
2,9,86,1721,0.941409,-0.766450,-0.807907,-2.799023,-6.043906,6.961953
2,9,87,1741,0.936526,-0.777680,-0.797165,-3.486523,-2.356406,6.024453
2,9,88,1761,0.936526,-0.787446,-0.773727,-4.486524,-1.106406,4.524453
2,9,89,1781,0.942874,-0.781586,-0.762985,-2.611523,-1.668906,2.024453
2,9,90,1801,0.943850,-0.768403,-0.770309,-2.986523,-1.606406,0.774453
2,9,91,1821,0.949221,-0.765961,-0.759567,-2.111523,-0.356406,0.149453
2,9,92,1841,0.953127,-0.764985,-0.752731,-0.861523,-1.043906,-0.225547
2,9,93,1861,0.946780,-0.764008,-0.766403,0.388477,-1.418906,-1.538047
2,9,94,1881,0.953127,-0.751313,-0.765915,-0.799023,-0.231406,-2.038047
2,9,95,1901,0.966799,-0.732270,-0.745407,-1.986523,0.018594,-0.913047
2,9,96,1921,0.964846,-0.745942,-0.740036,-1.174023,-1.731406,-0.538047
2,9,97,1941,0.957522,-0.744965,-0.755173,-0.299023,-2.168906,-0.975547
2,9,98,1961,0.961428,-0.741059,-0.753708,0.450977,-1.668906,-0.913047
2,9,99,1981,0.961917,-0.743500,-0.752731,1.700977,-1.668906,-1.163047
2,10,0,0,0.960940,-0.700043,-0.943649,7.388476,0.018594,-2.288047
2,10,1,21,0.945315,-0.678071,-0.962692,9.575976,8.643594,-1.100547
2,10,2,41,0.938479,-0.649262,-0.940231,12.700976,15.081094,-1.038047
2,10,3,61,0.922366,-0.600434,-0.919724,14.138476,22.768593,1.711953
2,10,4,81,0.914553,-0.555024,-0.866013,10.700976,34.268593,5.711953
2,10,5,101,0.919436,-0.523774,-0.755173,10.075976,43.956093,8.461953
2,10,6,121,0.942385,-0.466645,-0.625778,7.200976,49.143593,16.524452
2,10,7,141,0.962405,-0.449555,-0.518356,7.763476,49.143593,26.649452
2,10,8,161,0.962893,-0.463227,-0.448044,12.263476,47.018593,36.899452
2,10,9,181,0.958987,-0.525727,-0.369431,16.325977,40.831093,46.899452
2,10,10,201,0.920901,-0.613129,-0.304977,19.075977,33.893593,53.524452
2,10,11,221,0.896487,-0.688325,-0.281540,10.575976,27.893593,59.211952
2,10,12,241,0.877932,-0.803071,-0.262497,-6.986524,19.643593,63.961952
2,10,13,261,0.878420,-0.897797,-0.270309,-17.549023,11.393594,62.024452
2,10,14,281,0.893069,-1.003754,-0.299606,-32.424023,0.081094,57.899452
2,10,15,301,0.924807,-1.135102,-0.354294,-43.111523,-13.668906,52.149452
2,10,16,321,0.944338,-1.243012,-0.409958,-46.049023,-29.356407,33.961952
2,10,17,341,0.948245,-1.248383,-0.469528,-42.299023,-45.668907,9.274453
2,10,18,361,0.965823,-1.149262,-0.564255,-44.611523,-57.418907,-3.350547
2,10,19,381,0.962893,-1.100434,-0.698532,-59.174023,-68.043907,-2.288047
2,10,20,401,0.947756,-1.125336,-0.836227,-54.174023,-71.168907,-2.663047
